x,y,Wij,Uij,Dif
0.333333,0.2,0.0976356,0,0.0976356
0.333333,0.4,0.211489,0,0.211489
0.333333,0.6,0.364612,0,0.364612
0.333333,0.8,0.59869,0,0.59869
0.666667,0.2,0.150223,0,0.150223
0.666667,0.4,0.313894,0,0.313894
0.666667,0.6,0.504355,0,0.504355
0.666667,0.8,0.732845,0,0.732845
1,0.2,0.165457,0,0.165457
1,0.4,0.341883,0,0.341883
1,0.6,0.538462,0,0.538462
1,0.8,0.759599,0,0.759599
1.33333,0.2,0.150223,0,0.150223
1.33333,0.4,0.313894,0,0.313894
1.33333,0.6,0.504355,0,0.504355
1.33333,0.8,0.732845,0,0.732845
1.66667,0.2,0.0976359,0,0.0976359
1.66667,0.4,0.211489,0,0.211489
1.66667,0.6,0.364613,0,0.364613
1.66667,0.8,0.59869,0,0.59869
